time (sec),angular position (rad),angular speed (rad/s),angular acceleration (rad/s^2),torque (Nm),driving torque (Nm),load torque (Nm)
0.0,0.0,0.0,2.5363627875633785,1.2496,1.7496,0.5
0.5,0.6340906968908446,1.2681813937816893,1.8482622960435902,0.9105907784409797,1.4105907784409797,0.5
1.0,1.7302469677925867,2.192312541803484,1.3468394709646645,0.6635527895180451,1.163552789518045,0.5
1.5,3.163113106435495,2.8657322772858165,0.9814497457592439,0.48353477204218975,0.9835347720421898,0.5
2.0,4.841341681518214,3.3564571501654386,0.7151881305950791,0.35235459705280003,0.8523545970528,0.5
2.5,6.6983672892497035,3.714051215462978,0.5211617450146627,0.25676284156335394,0.7567628415633539,0.5
3.0,8.685683333234858,3.9746320879703094,0.3797735908183106,0.18710457408282036,0.6871045740828203,0.5
3.5,10.76794277492459,4.164518883379465,0.27674322158656484,0.13634418995193925,0.6363441899519393,0.5
4.0,12.919388022010963,4.302890494172747,0.20166439306400047,0.09935480318841337,0.5993548031884134,0.5
4.5,15.121249367363337,4.403722690704747,0.14695401461585758,0.07240042219685301,0.572400422196853,0.5
5.0,17.359849216369675,4.477199698012676,0.10708624404936037,0.052758608200774576,0.5527586082007746,0.5
5.5,19.62522062638835,4.530742820037356,0.0780343680611623,0.038445504250165075,0.5384455042501651,0.5
6.0,21.91010062842232,4.569760004067938,0.05686409727749961,0.028015462262094844,0.5280154622620948,0.5
6.5,24.209196654775663,4.598192052706687,0.04143719798756557,0.02041503008132588,0.520415030081326,0.5
7.0,26.518651980625897,4.61891065170047,0.030195526866124783,0.01487655100324116,0.5148765510032411,0.5
7.5,28.835656188192665,4.634008415133533,0.022003655821431538,0.010840629128167962,0.510840629128168,0.5
8.0,31.15816130971479,4.645010243044248,0.01603419180776643,0.007899629414699518,0.5078996294146996,0.5
8.5,33.48467497918885,4.653027338948131,0.01168420870671069,0.005756505840369982,0.50575650584037,0.5
9.0,35.814109700839595,4.658869443301486,0.00851435075360962,0.004194799243183865,0.5041947992431839,0.5
9.5,38.14567301017874,4.663126618678291,0.0062044568507114185,0.003056774574467397,0.5030567745744674,0.5
10.0,40.47878743373057,4.666228847103647,0.004521223746393164,0.0022274893880305058,0.5022274893880305,0.5
10.5,42.81303216321899,4.668489458976843,0.003294642006029078,0.00162318445567837,0.5016231844556783,0.5
11.0,45.14810055320892,4.670136779979858,0.00240082476708875,0.0011828239413006827,0.5011828239413006,0.5
11.5,47.48376914939062,4.671337192363402,0.0017494949532365685,0.0008619306765908732,0.5008619306765909,0.5
12.0,49.81987511931063,4.67221193984002,0.0012748671345604824,0.0006280938906524511,0.5006280938906524,0.5
12.5,52.15629980601428,4.6728493734073,0.0009290030861620601,0.0004576956664718068,0.5004576956664718,0.5
13.0,54.49295674348947,4.673313874950381,0.000676969945104158,0.000333525490734246,0.5003335254907343,0.5
13.5,56.829782923450935,4.673652359922933,0.0004933119312525512,0.0002430419624179194,0.500243041962418,0.5
14.0,59.16673243139522,4.673899015888559,0.00035947926976179613,0.00017710608975062315,0.5001771060897506,0.5
14.5,61.50377180915694,4.67407875552344,0.0002619546319509273,0.00012905823634179115,0.5001290582363418,0.5
15.0,63.840876675576645,4.674209732839415,0.0001908878618951194,9.404548647131606e-05,0.5000940454864713,0.5
15.5,66.17802926396183,4.674305176770363,0.00013910109375624675,6.853149226526512e-05,0.5000685314922653,0.5
16.0,68.51521662762045,4.674374727317241,0.00010136377500369956,4.993929648617268e-05,0.5000499392964862,0.5
16.5,70.85242933222281,4.674425409204743,7.386437162864466e-05,3.639105542777088e-05,0.5000363910554277,0.5
17.0,73.18966050291809,4.674462341390558,5.38253966551397e-05,2.6518373471674294e-05,0.5000265183734717,0.5
17.5,75.52690512996253,4.674489254088885,3.922287919329386e-05,1.932409278367686e-05,0.5000193240927837,0.5
18.0,77.86415956272677,4.674508865528482,2.8581939898758395e-05,1.4081578657680894e-05,0.5000140815786577,0.5
18.5,80.20142114097598,4.674523156498432,2.082782562543803e-05,1.0261328162187056e-05,0.5000102613281622,0.5
19.0,82.53868792618161,4.674533570411245,1.5177357513922547e-05,7.477489435814277e-06,0.5000074774894359,0.5
19.5,84.87595850572662,4.674541159090002,1.1059828579405568e-05,5.448889985530059e-06,0.5000054488899855,0.5
20.0,87.21323185022877,4.674546689004292,8.059361327889348e-06,3.970637782856557e-06,0.5000039706377829,0.5
