time (sec),angular position (rad),angular speed (rad/s),angular acceleration (rad/s^2),torque (Nm),driving torque (Nm),load torque (Nm)
0.0,0.0,0.0,12.681813937816893,0.2776888888888889,0.3888,0.11111111111111112
0.5,3.170453484454223,6.340906968908446,9.24131148021795,0.2023535063202177,0.3134646174313288,0.11111111111111112
1.0,8.651234838962933,10.961562709017421,6.734197354823323,0.14745617544845444,0.25856728655956557,0.11111111111111112
1.5,15.815565532177477,14.328661386429083,4.90724872879622,0.10745217156493106,0.2185632826760422,0.11111111111111112
2.0,24.206708407591073,16.782285750827192,3.5759406529753957,0.0783010215672889,0.1894121326784,0.11111111111111112
2.5,33.49183644624852,18.57025607731489,2.6058087250733135,0.05705840923630089,0.168169520347412,0.11111111111111112
3.0,43.428416666174286,19.873160439851546,1.898867954091553,0.041578794240626736,0.15268990535173785,0.11111111111111112
3.5,53.83971387462295,20.822594416897324,1.3837161079328242,0.030298708878208715,0.14140981998931984,0.11111111111111112
4.0,64.59694011005482,21.514452470863734,1.0083219653200024,0.022078845152980735,0.13318995626409186,0.11111111111111112
4.5,75.60624683681668,22.018613453523734,0.7347700730792879,0.016088982710411783,0.1272000938215229,0.11111111111111112
5.0,86.79924608184837,22.38599849006338,0.5354312202468019,0.01172413515572768,0.1228352462668388,0.11111111111111112
5.5,98.12610313194176,22.653714100186782,0.39017184030581153,0.008543445388925562,0.11965455650003667,0.11111111111111112
6.0,109.55050314211161,22.848800020339688,0.2843204863874981,0.006225658280465524,0.11733676939157664,0.11111111111111112
6.5,121.04598327387832,22.990960263533434,0.20718598993782786,0.0045366733514057385,0.11564778446251686,0.11111111111111112
7.0,132.59325990312948,23.09455325850235,0.15097763433062392,0.0033059002229424836,0.1144170113340536,0.11111111111111112
7.5,144.17828094096333,23.170042075667663,0.1100182791071577,0.002409028695148436,0.11352013980625955,0.11111111111111112
8.0,155.79080654857395,23.22505121522124,0.08017095903883215,0.001755473203266547,0.11286658431437767,0.11111111111111112
8.5,167.42337489594428,23.265136694740654,0.05842104353355345,0.001279223520082212,0.11239033463119333,0.11111111111111112
9.0,179.07054850419797,23.294347216507433,0.0425717537680481,0.0009321776095964083,0.11204328872070753,0.11111111111111112
9.5,190.7283650508937,23.315633093391455,0.031022284253557093,0.0006792832387705374,0.11179039434988165,0.11111111111111112
10.0,202.39393716865283,23.331144235518234,0.02260611873196582,0.0004949976417845506,0.11160610875289567,0.11111111111111112
10.5,214.06516081609496,23.342447294884217,0.016473210030145388,0.0003607076568173966,0.11147181876792851,0.11111111111111112
11.0,225.74050276604459,23.350683899899288,0.012004123835443749,0.0002628497647334882,0.1113739608758446,0.11111111111111112
11.5,237.41884574695308,23.35668596181701,0.008747474766182843,0.0001915401503535179,0.11130265126146463,0.11111111111111112
12.0,249.09937559655316,23.361059699200098,0.006374335672802412,0.00013957642014497651,0.1112506875312561,0.11111111111111112
12.5,260.7814990300714,23.3642468670365,0.0046450154308103,0.0001017101481048428,0.11121282125921596,0.11111111111111112
13.0,272.46478371744735,23.366569374751904,0.0033848497255207903,7.411677571872133e-05,0.11118522788682984,0.11111111111111112
13.5,284.14891461725466,23.368261799614665,0.002466559656262756,5.400932498176303e-05,0.11116512043609288,0.11111111111111112
14.0,295.83366215697606,23.369495079442796,0.0017973963488089805,3.9356908833468654e-05,0.11115046801994459,0.11111111111111112
14.5,307.51885904578467,23.3703937776172,0.0013097731597546366,2.8679608075947272e-05,0.11113979071918706,0.11111111111111112
15.0,319.20438337788323,23.371048664197076,0.0009544393094755969,2.089899699362263e-05,0.11113201010810474,0.11111111111111112
15.5,330.89014631980916,23.371525883851817,0.0006955054687812338,1.5229220503385932e-05,0.1111263403316145,0.11111111111111112
16.0,342.57608313810226,23.37187363658621,0.0005068188750184978,1.109762144136539e-05,0.11112220873255248,0.11111111111111112
16.5,354.26214666111406,23.372127046023717,0.0003693218581432233,8.086901206155517e-06,0.11111919801231727,0.11111111111111112
17.0,365.9483025145904,23.37231170695279,0.0002691269832756985,5.892971882587972e-06,0.1111170040829937,0.11111111111111112
17.5,377.63452564981264,23.372446270444428,0.0001961143959664693,4.294242840813922e-06,0.11111540535395192,0.11111111111111112
18.0,389.3207978136338,23.37254432764241,0.00014290969949379197,3.129239701706865e-06,0.11111424035081283,0.11111111111111112
18.5,401.0071057048799,23.372615782492158,0.00010413912812719016,2.280295147158995e-06,0.11111339140625827,0.11111111111111112
19.0,412.6934396309081,23.372667852056225,7.588678756961274e-05,1.6616643190587866e-06,0.11111277277543018,0.11111111111111112
19.5,424.37979252863306,23.37270579545001,5.529914289702784e-05,1.2108644412194281e-06,0.11111232197555233,0.11111111111111112
20.0,436.06615925114386,23.37273344502146,4.029680663944674e-05,8.823639517459015e-07,0.11111199347506286,0.11111111111111112
