time (sec),angular position (rad),angular speed (rad/s),angular acceleration (rad/s^2),torque (Nm),driving torque (Nm),load torque (Nm)
0.0,0.0,0.0,76.09088362690136,0.05142386831275721,0.07200000000000001,0.020576131687242795
0.5,19.02272090672534,38.04544181345068,55.4478688813077,0.03747287154078106,0.05804900322802385,0.020576131687242795
1.0,51.9074090337776,65.76937625410453,40.405184128939936,0.027306699157121198,0.047882830844364,0.020576131687242795
1.5,94.89339319306487,85.9719683185745,29.44349237277732,0.019898550289802048,0.040474681977044846,0.020576131687242795
2.0,145.24025044554645,100.69371450496315,21.455643917852374,0.014500189179127577,0.03507632086637037,0.020576131687242795
2.5,200.9510186774911,111.42153646388934,15.634852350439882,0.010566372080796459,0.031142503768039256,0.020576131687242795
3.0,260.5704999970457,119.23896263910927,11.393207724549317,0.007699776711227177,0.028275908398469975,0.020576131687242795
3.5,323.0382832477377,124.93556650138395,8.302296647596945,0.005610872014483096,0.026187003701725893,0.020576131687242795
4.0,387.5816406603289,129.0867148251824,6.049931791920015,0.004088675028329767,0.024664806715572564,0.020576131687242795
4.5,453.63748102090005,132.11168072114242,4.408620438475728,0.002979441242668852,0.023555572929911648,0.020576131687242795
5.0,520.7954764910902,134.3159909403803,3.2125873214808114,0.0021711361399495742,0.02274726782719237,0.020576131687242795
5.5,588.7566187916506,135.92228460112068,2.341031041834869,0.0015821195164676994,0.022158251203710497,0.020576131687242795
6.0,657.3030188526697,137.0928001220381,1.7059229183249884,0.0011528996815676892,0.021729031368810485,0.020576131687242795
6.5,726.2758996432699,137.9457615812006,1.243115939626967,0.0008401246947047695,0.021416256381947565,0.020576131687242795
7.0,795.5595594187769,138.56731955101412,0.9058658059837434,0.0006122037449893512,0.02118833543223215,0.020576131687242795
7.5,865.06968564578,139.02025245400597,0.6601096746429462,0.0004461164250274905,0.021022248112270287,0.020576131687242795
8.0,934.7448392914437,139.35030729132743,0.4810257542329929,0.0003250876302345489,0.020901219317477345,0.020576131687242795
8.5,1004.5402493756657,139.59082016844394,0.3505262612013207,0.00023689324445966875,0.020813024931702465,0.020576131687242795
9.0,1074.4232910251878,139.7660832990446,0.2554305226082886,0.00017262548325859938,0.020748757170501397,0.020576131687242795
9.5,1144.3701903053623,139.89379856034873,0.18613370552134256,0.0001257931923649167,0.020701924879607713,0.020576131687242795
10.0,1214.3636230119168,139.9868654131094,0.13563671239179492,9.166622996010432e-05,0.020667797917202902,0.020576131687242795
10.5,1284.3909648965698,140.0546837693053,0.09883926018087233,6.679771422544789e-05,0.020642929401468245,0.020576131687242795
11.0,1354.4430165962676,140.10410339939574,0.0720247430126625,4.8675882358054423e-05,0.02062480756960085,0.020576131687242795
11.5,1424.5130744817184,140.14011577090207,0.05248484859709705,3.547039821361508e-05,0.020611602085456412,0.020576131687242795
12.0,1494.596253579319,140.1663581952006,0.03824601403681447,2.5847485212032952e-05,0.02060197917245483,0.020576131687242795
12.5,1564.6889941804284,140.185481202219,0.027870092584861804,1.883521261201082e-05,0.020594966899854808,0.020576131687242795
13.0,1634.7887023046842,140.19941624851143,0.020309098353124742,1.372532883680222e-05,0.0205898570160796,0.020576131687242795
13.5,1704.893487703528,140.209570797688,0.014799357937576536,1.000172684847911e-05,0.020586133414091275,0.020576131687242795
14.0,1775.0019729418564,140.21697047665677,0.010784378092853883,7.288316450644316e-06,0.02058342000369344,0.020576131687242795
14.5,1845.113154274708,140.2223626657032,0.007858638958527819,5.311038532582302e-06,0.02058144272577538,0.020576131687242795
15.0,1915.2263002672994,140.22629198518246,0.005726635856853582,3.870184628450346e-06,0.020580001871871246,0.020576131687242795
15.5,1985.3408779188549,140.2291553031109,0.004173032812687403,2.8202260191463323e-06,0.020578951913261943,0.020576131687242795
16.0,2055.456498828614,140.23124181951727,0.0030409132501109867,2.055115081738279e-06,0.020578186802324535,0.020576131687242795
16.5,2125.5728799666845,140.2327622761423,0.0022159311488593398,1.4975742974385753e-06,0.020577629261540234,0.020576131687242795
17.0,2195.6898150875422,140.23387024171674,0.0016147618996541911,1.0912910893701168e-06,0.020577222978332168,0.020576131687242795
17.5,2265.807153898876,140.23467762266657,0.0011766863757988158,7.952301557061503e-07,0.020576926917398503,0.020576131687242795
18.0,2335.924786881803,140.23526596585447,0.0008574581969627518,5.794888336509985e-07,0.020576711176076446,0.020576131687242795
18.5,2406.0426342292794,140.23569469495294,0.0006248347687631409,4.2227687910667554e-07,0.020576553964121905,0.020576131687242795
19.0,2476.1606377854487,140.23600711233735,0.00045532072541767645,3.0771561464248977e-07,0.02057643940285744,0.020576131687242795
19.5,2546.2787551717984,140.23623477270007,0.00033179485738216706,2.2423415578387563e-07,0.02057635592139858,0.020576131687242795
20.0,2616.3969555068634,140.23640067012877,0.00024178083983668043,1.6340073180387548e-07,0.0205762950879746,0.020576131687242795
